{2021-06-19 13:49:00,335}       {INFO} (StartMobServer.java:26) proxyadd
{2021-06-19 13:49:00,669}       {INFO} (DriverClass.java:100) Adding proxy at localhost:52033
{2021-06-19 13:49:05,607}       {INFO} (BaseTests.java:53) 
{2021-06-19 13:49:05,608}       {INFO} (BaseTests.java:54) ****************** Starting method : Test1_Verify_Login_Page_Accessible_From_Landing*************************
{2021-06-19 13:49:05,608}       {INFO} (BaseTests.java:55) 
{2021-06-19 13:49:05,622}       {INFO} (HomePageKeywords.java:31) Launching url https://webui-qa.erpmaestro.com/login
{2021-06-19 13:49:06,964}       {INFO} (StartMobServer.java:63) https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard
{2021-06-19 13:49:07,659}       {INFO} (StartMobServer.java:63) https://webui-qa.erpmaestro.com/login
{2021-06-19 13:49:07,977}       {INFO} (StartMobServer.java:63) https://webui-qa.erpmaestro.com/runtime-es2015.b3e63489407f810b36dd.js
{2021-06-19 13:49:08,497}       {INFO} (StartMobServer.java:63) https://webui-qa.erpmaestro.com/polyfills-es2015.3b6f72ee2903b85f3d8c.js
{2021-06-19 13:49:08,943}       {INFO} (StartMobServer.java:63) https://webui-qa.erpmaestro.com/styles.b83bfc88674795c8aeb7.css
{2021-06-19 13:49:10,020}       {DEBUG} (BasePage.java:33) Locator value is By.cssSelector: [title='My Account'] span[class='caret']
{2021-06-19 13:49:10,271}       {INFO} (StartMobServer.java:63) https://webui-qa.erpmaestro.com/favicon.ico?v=2
{2021-06-19 13:50:02,640}       {INFO} (StartMobServer.java:63) https://www.google.com/async/ddljson?async=ntp:2
{2021-06-19 13:50:02,651}       {INFO} (StartMobServer.java:63) https://www.google.com/async/newtab_promos
{2021-06-19 13:50:02,768}       {INFO} (StartMobServer.java:63) https://www.google.com/async/newtab_ogb?hl=en-GB&async=fixed:0
{2021-06-19 13:50:03,380}       {INFO} (StartMobServer.java:63) https://www.gstatic.com/images/branding/googlelogo/svg/googlelogo_clr_74x24px.svg
{2021-06-19 13:50:03,389}       {INFO} (StartMobServer.java:63) https://www.gstatic.com/og/_/ss/k=og.qtm.P8n2dCwhoA8.L.W.O/m=qmd,qcwid/excm=qaaw,qabr,qadd,qaid,qalo,qebr,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhlo,qhmn,qhpc,qhpr,qhsf,qhtt/d=1/ed=1/ct=zgms/rs=AA2YrTvJt5zPrsxf72ExnOF2ZFpD5Kgx7A
{2021-06-19 13:50:03,450}       {INFO} (StartMobServer.java:63) https://www.gstatic.com/og/_/js/k=og.qtm.en_US.UKfh4Jard14.O/rt=j/m=q_d,qmd,qcwid,qapid,qald/exm=qaaw,qabr,qadd,qaid,qalo,qebr,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhlo,qhmn,qhpc,qhpr,qhsf,qhtt/d=1/ed=1/rs=AA2YrTvhqESG86SancEQRa0zo3UDA8gUsw
{2021-06-19 13:50:04,023}       {INFO} (StartMobServer.java:63) https://ogs.google.com/widget/app/so?bc=1&origin=chrome-untrusted%3A%2F%2Fnew-tab-page&origin=chrome%3A%2F%2Fnew-tab-page&cn=app&pid=1&spid=243&hl=en-GB&dm=
{2021-06-19 13:50:04,108}       {INFO} (StartMobServer.java:63) https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.7yBiF1UUXzY.O/m=gapi_iframes,googleapis_client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo-pEDm0pqtBuZIKGpxOGTcQloIhJw/cb=gapi.loaded_0
{2021-06-19 13:50:05,763}       {INFO} (StartMobServer.java:63) https://update.googleapis.com/service/update2/json?cup2key=10:2612370849&cup2hreq=e09f8933ddcd237eabd1befb9ae07380a9a8320ca2e35585bcd44fa680c8ee21
{2021-06-19 13:50:05,908}       {INFO} (StartMobServer.java:63) http://redirector.gvt1.com/edgedl/release2/chrome_component/APhHMzuprJvS7ixvnAk_gdI_1/anGnv31dmOJhheXBnYQ3gw
{2021-06-19 13:50:06,056}       {INFO} (StartMobServer.java:63) http://r4---sn-gwpa-5bge.gvt1.com/edgedl/release2/chrome_component/APhHMzuprJvS7ixvnAk_gdI_1/anGnv31dmOJhheXBnYQ3gw?cms_redirect=yes&mh=LV&mip=49.36.219.160&mm=28&mn=sn-gwpa-5bge&ms=nvh&mt=1624090343&mv=m&mvi=4&pl=23&rmhost=r1---sn-gwpa-5bge.gvt1.com&shardbypass=yes&smhost=r1---sn-gwpa-5bgd.gvt1.com
{2021-06-19 13:50:06,502}       {INFO} (StartMobServer.java:63) https://update.googleapis.com/service/update2/json
{2021-06-19 13:50:06,792}       {INFO} (StartMobServer.java:63) http://redirector.gvt1.com/edgedl/release2/chrome_component/ANlaTV2JH2WK9RCoHi__mxg_1.0.6/S3ybLvFx94Hgn9pWLt24ug
{2021-06-19 13:50:06,824}       {INFO} (StartMobServer.java:63) http://r4---sn-gwpa-5bge.gvt1.com/edgedl/release2/chrome_component/ANlaTV2JH2WK9RCoHi__mxg_1.0.6/S3ybLvFx94Hgn9pWLt24ug?cms_redirect=yes&mh=y2&mip=49.36.219.160&mm=28&mn=sn-gwpa-5bge&ms=nvh&mt=1624090343&mv=m&mvi=4&pl=23&rmhost=r2---sn-gwpa-5bge.gvt1.com&shardbypass=yes&smhost=r2---sn-gwpa-5bg6.gvt1.com
{2021-06-19 13:50:07,660}       {INFO} (StartMobServer.java:63) https://update.googleapis.com/service/update2/json
{2021-06-19 13:50:07,745}       {INFO} (StartMobServer.java:63) http://edgedl.me.gvt1.com/edgedl/release2/chrome_component/AOr1uo9Rjv3xSlqPk5ntIrA_20210609.1/APAON8yuhLEwcnqYbHyBeGE
{2021-06-19 13:50:08,590}       {INFO} (StartMobServer.java:63) https://www.google.com/search?q=chrome+certificate+is+not+trusted&oq=chrome+certificate+is+not+trusted&aqs=chrome..69i57.5851j0j7&sourceid=chrome&ie=UTF-8
{2021-06-19 13:50:08,717}       {INFO} (StartMobServer.java:63) https://www.gstatic.com/ui/v1/activityindicator/loading_24.gif
{2021-06-19 13:50:08,743}       {INFO} (StartMobServer.java:63) https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png
{2021-06-19 13:50:08,752}       {INFO} (StartMobServer.java:63) https://www.google.com/images/searchbox/desktop_searchbox_sprites318_hr.webp
{2021-06-19 13:50:08,812}       {INFO} (StartMobServer.java:63) https://update.googleapis.com/service/update2/json
{2021-06-19 13:50:08,840}       {INFO} (StartMobServer.java:63) https://www.google.com/images/nav_logo323.webp
{2021-06-19 13:50:08,889}       {INFO} (StartMobServer.java:63) https://www.google.com/gen_204?s=web&t=aft&atyp=csi&ei=uKjNYJa9BMy84-EP35-N0A8&rt=wsrt.841,aft.181,prt.153,sct.84&imn=2&ima=1&imad=0&aftp=667&bl=bWXf
{2021-06-19 13:50:08,902}       {INFO} (StartMobServer.java:63) http://edgedl.me.gvt1.com/edgedl/release2/chrome_component/AIZk8O7Cv2UUbxc_aaUykKI_7/ALzUVHP-vRgKCzqwbtGugSE
{2021-06-19 13:50:08,969}       {INFO} (StartMobServer.java:63) https://www.google.com/xjs/_/js/k=xjs.s.en_GB.Is5exLrkjcc.O/m=cdos,dpf,hsm,jsa,d,csi/am=QhlAAAAAAPgD8CAjYAEBAACAMQAAAAAAAEAhgECyOxQAAEyZR8AAAAABCBwBhYiCCEAAAADABPYD5Pw3AQCXwCYMAAAAAACAAFwCGaUCJAoCCAAAAEBMrZ46CAGg/d=1/ed=1/dg=2/br=1/rs=ACT90oFAP0GIGFiw8Mz2Iu2AZ-c5-vptQA
